108.01|61-019-0|Fruit of the Loom|Kids Original T|145 g/m² (White: 135 g/m²)|100% Coton ; Heather Grey : 97% Coton, 3% Polyester|1.61
158.01|61-033-0|Fruit of the Loom|Kids Valueweight T|165 g/m² (White: 150 g/m²)|100% coton ; Heather Grey : 97% coton, 3% polyester|1.71
034.42|TK001|B&C|#E150 T-Shirt /kids|145 g/m²|100% coton, pré-rétréci, ringspun ; conçu pour l'enfant à l'adolescent, non genré|1.73
113.01|61-023-0|Fruit of the Loom|Kids' Iconic 150 T|150 g/m² (White: 145 g/m²)|100% coton peigné et ringspun ; Heather Grey : 97% Coton, 3% Polyester|1.75
130.01|61-082-0|Fruit of the Loom|Original T|145 g/m² (White: 135 g/m²)|100% Coton (Heather Grey : 97% Coton, 3% Polyester) ; bande de propreté|1.93
124.01|61-420-0|Fruit of the Loom|Ladies Original T|145 g/m² (White: 135 g/m²)|100% Coton ; maille fine jauge pour une meilleure impression|1.94
111.01|61-430-0|Fruit of the Loom|Iconic 150 T|150 g/m² (White: 145 g/m²)|100% Coton peigné ring-spun ; Heather Grey : 97% Coton, 3% Polyester|1.96
111.09|3000|Gildan|Light Cotton Adult T-Shirt|150 g/m²|100% coton ; bande de propreté d'épaule à épaule|1.98
112.01|61-432-0|Fruit of the Loom|Ladies' Iconic 150 T|150 g/m² (White: 145 g/m²)|100% Coton peigné ring-spun ; Heather Grey : 97% Coton, 3% Polyester|1.99
138.09|64000B|Gildan|Softstyle Youth T-Shirt|153 g/m² (Blanc: 144 g/m²)|100% Coton ring-spun ; Sport Grey : 90% Coton, 10% Polyester|2.02
168.01|0613630|Fruit of the Loom|Kids' Iconic 195 T|190 g/m²|100% coton, ringspun ; jersey simple|2.20
036.42|TK002|B&C|#E190 T-Shirt /kids|185 g/m²|100% coton, pré-rétréci, ringspun ; conçu pour l'enfant à l'adolescent, non genré|2.20
150.01|61-036-0|Fruit of the Loom|Valueweight T-Shirt|165 g/m² (White: 160 g/m²)|100% coton ; Ash : 99% coton, 1% polyester|2.22
136.01|61-372-0|Fruit of the Loom|Ladies Valueweight T|165 g/m² (White: 160 g/m²)|100% Coton, Heather Grey : 97% Coton, 3% Polyester ; coupe flatteuse, encolure féminine|2.23
188.00|0R180B0|Russell Athletic|Kid's Classic T-Shirt|180 g/m² (White: 175 g/m²)|100% coton ringspun|2.24
015.42|TU01T|B&C|#E150 T-Shirt|145 g/m²|100% coton, ringspun et pré-rétréci (jersey simple) ; Ash : 99% coton, 1% viscose|2.25
197.09|5100P|Gildan|Heavy Cotton Toddler T-Shirt|180 g/m² (White: 170 g/m²)|100% coton, prérétréci ; col côtelé non surpiqué|2.25
198.09|5000B|Gildan|Heavy Cotton Youth T-Shirt|180 g/m² (White: 170 g/m²)|100% coton jersey ; Ash : 99% coton, 1% polyester|2.25
016.42|TW02T|B&C|#E150 /women T-Shirt|145 g/m²|100% coton, ring-spun, pré-rétréci ; Ash : 99% coton, 1% viscose|2.26
158.42|TK300|B&C|Exact 150/kids T-Shirt|145 g/m²|100% coton, prérétréci et ringspun ; Sport Grey : 85% coton, 15% viscose|2.26
172.52|SGTee K|SG Signature|Signature Tagless Tee Kids|160 g/m²|100% coton, ring-spun (jersey simple) ; Ash 99/1 viscose, Light Oxford 93/7 viscose|2.29
173.01|61-098-0|Fruit of the Loom|Valueweight Athletic|165 g/m² (White: 160 g/m²)|100% coton (Heather Grey : 97% coton, 3% polyester) ; style débardeur|2.29
150.09|64000|Gildan|Softstyle Adult T-Shirt|153 g/m² (White: 144 g/m²)|100% Coton ring-spun, jersey, prérétréci|2.37
131.09|64000L|Gildan|Softstyle Women's T-Shirt|153 g/m² (White: 144 g/m²)|100% coton ring-spun, jersey ; Sport Grey : 90% coton, 10% polyester|2.37
038.42|TK004|B&C|Active T /kids|140 g/m²|Maille birdseye 100% polyester recyclé (certifié RCS) ; non genré, de l'enfant à l'ado|2.38
121.09|65000B|Gildan|Softstyle Midweight Youth T-Shirt|183 g/m² (White: 180 g/m²)|100% coton, ringspun ; Sport Grey : 90% coton, 10% polyester|2.39
105.01|61-376-0|Fruit of the Loom|Ladies Valueweight Vest|165 g/m² (White: 160 g/m²)|100% coton, Heather Grey : 97% coton, 3% polyester ; coutures latérales, forme féminine|2.40
109.01|61-426-0|Fruit of the Loom|Original V-Neck T|145 g/m² (Blanc: 135 g/m²)|100% Coton ; Gris chiné : 97% coton, 3% polyester|2.40
180.01|61-212-0|Fruit of the Loom|Heavy Cotton T|195 g/m² (White: 185 g/m²)|100% coton (Heather Grey : 97% coton, 3% polyester) ; bord côte à l'encolure|2.45
185.01|61-007-0|Fruit of the Loom|Kids Valueweight Long Sleeve T|165 g/m² (White: 160 g/m²)|100% coton ; Heather Grey : 97% coton, 3% polyester|2.55
180.09|5000|Gildan|Heavy Cotton Adult T-Shirt|180 g/m² (White: 170 g/m²)|100% coton jersey ; Ash 99/1 polyester, Sport Grey 90/10 polyester|2.60
194.09|5000L|Gildan|Heavy Cotton Women's T-Shirt|180 g/m² (White: 170 g/m²)|100% coton jersey, prérétréci ; Sport Grey : 90% coton, 10% polyester|2.61
033.42|TG003|B&C|Active T|140 g/m²|Maille birdseye 100% polyester recyclé (certifié RCS) ; coupe contemporaine non genrée|2.73
188.42|TK301|B&C|Exact 190/kids T-Shirt|185 g/m²|100% coton, prérétréci et ringspun ; Ash : 99% coton, 1% viscose|2.75
103.01|61-422-0|Fruit of the Loom|Iconic 195 Ringspun Premium T|195 g/m²|100% coton, peigné et ringspun (jersey simple) ; Heather Grey : 97% coton, 3% polyester|2.77
104.01|61-424-0|Fruit of the Loom|Ladies' Iconic 195 Ringspun Premium T|195 g/m² (Blanc: 190 g/m²)|100% coton, peigné et baguette ; Heather Grey : 97% coton, 3% polyester|2.77
180.00|0R180M0|Russell Athletic|Authentic Classic T|180 g/m² (White: 175 g/m²)|100% coton peigné, ringspun ; Light Oxford : 93% coton, 7% polyester|2.78
101.00|0R180F0|Russell Athletic|Ladies' Authentic Classic T|180 g/m²|100% coton ; Light Oxford : 93% coton, 7% viscose|2.78
164.01|61-066-0|Fruit of the Loom|Valueweight V-neck T-Shirt|165 g/m² (White: 160 g/m²)|100% coton ; Heather Grey : 97% coton, 3% polyester|2.82
129.01|61-398-0|Fruit of the Loom|Ladies Valueweight V-Neck T|165 g/m² (White: 160 g/m²)|100% coton ; Heather Grey : 97% coton, 3% polyester|2.83
145.01|61-442-0|Fruit of the Loom|Iconic 150 V Neck T|150 g/m² (Blanc: 140 g/m²)|100% coton peigné ring-spun ; Heather Grey : 97% Coton, 3% Polyester|2.86
146.01|61-444-0|Fruit of the Loom|Ladies' Iconic 150 V Neck T|150 g/m² (Blanc: 140 g/m²)|100% coton peigné ring-spun ; doux au toucher|2.86
170.52|SGTee|SG Signature|Signature Tagless Tee Men|160 g/m²|100% coton, ring-spun (jersey simple) ; Ash 99/1 viscose, Light Oxford 93/7 viscose|2.86
